Energy Grid,Fitness_1,Fitness_2,N_Groups
"(9, 13, 19, 70, 74, 86, 87, 88, 89, 90, 94, 95, 96, 97, 98, 102, 103, 105, 106, 108, 110, 111, 112, 138, 171, 260, 283)",0.02972091745237493,0.04532554415122547,27.0
"(3, 6, 7, 9, 13, 14, 19, 70, 74, 86, 87, 88, 89, 94, 95, 96, 97, 102, 103, 108, 110, 112, 138, 172, 260, 284)",0.040464794363150425,0.030371010318141045,26.0
"(9, 13, 19, 70, 74, 86, 87, 88, 89, 90, 94, 96, 97, 98, 102, 103, 105, 106, 108, 110, 111, 112, 138, 171, 260, 283)",0.030006099342583026,0.05752222847050514,26.0
"(9, 13, 19, 69, 86, 87, 88, 89, 90, 94, 95, 96, 97, 98, 102, 103, 105, 106, 108, 110, 111, 112, 138, 171, 260, 283)",0.029735875390560884,0.07126817593988244,26.0
"(9, 13, 19, 70, 86, 87, 88, 89, 90, 94, 96, 97, 98, 102, 103, 105, 106, 108, 110, 111, 112, 138, 171, 260, 283)",0.030018817313422708,0.0845534297438959,25.0
"(9, 19, 76, 86, 87, 88, 89, 90, 94, 95, 96, 97, 98, 102, 103, 105, 106, 108, 110, 111, 112, 138, 171, 260, 283)",0.029710746186121684,0.09979175660750761,25.0
"(3, 6, 7, 9, 13, 14, 19, 64, 70, 74, 87, 88, 89, 91, 94, 95, 97, 102, 103, 108, 110, 138, 173, 260, 279)",0.049623720334591725,0.031006623101090924,25.0
"(2, 9, 13, 14, 19, 70, 74, 86, 87, 88, 89, 90, 94, 95, 96, 97, 102, 103, 108, 110, 112, 138, 172, 260, 284)",0.039330351773111616,0.04099782876551883,25.0
"(19, 86, 87, 88, 89, 90, 91, 94, 96, 97, 98, 102, 103, 105, 106, 107, 108, 110, 111, 112, 138, 171, 260, 283)",0.02898413432398328,0.1659324468835538,24.0
"(9, 19, 86, 87, 88, 89, 90, 94, 96, 97, 98, 102, 103, 105, 106, 108, 110, 111, 112, 138, 171, 260, 283)",0.030047860469048615,0.11326329769856391,23.0
"(9, 19, 70, 73, 74, 87, 88, 89, 90, 94, 95, 96, 97, 102, 103, 105, 108, 110, 111, 138, 172, 260, 283)",0.037449654621155126,0.0651152944857607,23.0
"(3, 6, 7, 9, 13, 14, 19, 24, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 176, 260)",0.055816824135736076,0.03071359292528797,23.0
"(3, 6, 7, 9, 10, 13, 14, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 171)",0.0691621196811727,0.03112990122573034,22.0
"(9, 13, 19, 70, 75, 86, 87, 88, 89, 94, 95, 96, 97, 102, 103, 105, 108, 110, 138, 171, 260, 283)",0.0384986918670599,0.050083633984460696,22.0
"(6, 7, 9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 97, 101, 102, 103, 108, 110, 138, 173, 260, 289)",0.046274292631660496,0.038890913863468546,22.0
"(86, 87, 88, 89, 90, 94, 95, 96, 97, 98, 102, 103, 105, 106, 108, 110, 111, 112, 138, 171, 260, 283)",0.029764678767592145,0.24027758630142393,22.0
"(20, 86, 87, 88, 89, 90, 94, 96, 97, 98, 102, 103, 105, 106, 108, 110, 111, 112, 138, 171, 260, 283)",0.030047722412775868,0.16679105434339558,22.0
"(86, 87, 88, 89, 90, 94, 96, 97, 102, 103, 105, 106, 108, 110, 111, 112, 114, 138, 171, 260, 283)",0.029905150954761872,0.25443560552367295,21.0
"(28, 86, 87, 88, 89, 90, 94, 96, 97, 102, 103, 105, 106, 108, 110, 111, 112, 138, 171, 260, 283)",0.03088025001146777,0.19420394605524305,21.0
"(3, 6, 7, 9, 10, 13, 14, 19, 70, 74, 87, 88, 89, 94, 95, 102, 103, 108, 110, 138, 171)",0.1117886722454342,0.033117024156314456,21.0
"(9, 13, 19, 86, 87, 88, 89, 94, 96, 97, 98, 102, 103, 108, 110, 111, 112, 138, 171, 260, 283)",0.0355770670559753,0.09544892961869655,21.0
"(9, 13, 19, 70, 86, 87, 88, 89, 94, 95, 96, 97, 102, 103, 105, 108, 110, 138, 171, 260, 283)",0.03851618778072474,0.07452027504949077,21.0
"(6, 7, 9, 13, 14, 19, 70, 74, 87, 88, 89, 94, 95, 96, 102, 103, 108, 110, 138, 171)",0.0844588386911167,0.03566064862114504,20.0
"(9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 107, 108, 110, 138, 171, 260, 283)",0.044637499213309506,0.04962940336940169,20.0
"(3, 6, 7, 9, 13, 14, 19, 70, 74, 87, 88, 89, 94, 95, 102, 103, 108, 110, 138, 171)",0.1117886722454342,0.03530018671442248,20.0
"(9, 19, 86, 87, 88, 89, 94, 96, 97, 102, 103, 105, 106, 108, 110, 111, 138, 171, 260, 283)",0.033453131571809736,0.11362478137671461,20.0
"(6, 7, 9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 171, 260)",0.05476303956812845,0.03860116089095267,20.0
"(9, 19, 86, 87, 88, 89, 94, 95, 96, 97, 102, 103, 105, 108, 110, 111, 138, 171, 260, 283)",0.035706516247732134,0.10128908352234023,20.0
"(6, 7, 9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 171)",0.0691621196811727,0.03988166828416795,19.0
"(9, 19, 87, 88, 89, 94, 96, 97, 102, 103, 105, 106, 108, 110, 111, 138, 171, 261, 283)",0.037299806069537866,0.11378367532135603,19.0
"(6, 7, 9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 96, 102, 103, 108, 110, 138, 171)",0.0844588386911167,0.039545183021274855,19.0
"(9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 105, 108, 110, 138, 171, 262)",0.05412239651320394,0.0487202708197193,19.0
"(9, 13, 19, 71, 75, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 171, 260, 283)",0.04474495302624648,0.06095736305060795,19.0
"(9, 19, 86, 87, 88, 89, 94, 97, 102, 103, 105, 108, 110, 111, 138, 171, 260, 283)",0.0391142849278,0.12364656308538802,18.0
"(9, 13, 19, 70, 75, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 260, 283)",0.05050436537689251,0.05630782918262667,18.0
"(6, 7, 9, 13, 14, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 138, 171)",0.09442854797706968,0.044451508634268055,18.0
"(6, 7, 9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 102, 103, 108, 110, 138, 171)",0.1117886722454342,0.04188694217526179,18.0
"(9, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 171, 260, 283)",0.044788209838502735,0.06878438384647412,18.0
"(19, 86, 87, 88, 89, 94, 95, 96, 97, 102, 103, 108, 110, 111, 138, 171, 260, 283)",0.03758170094250657,0.15463803965874534,18.0
"(9, 13, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 171, 266)",0.05971206904755544,0.0497730346352645,18.0
"(86, 87, 88, 89, 94, 96, 97, 102, 103, 105, 106, 108, 110, 111, 138, 171, 260, 283)",0.03345515171940727,0.25609259444868393,18.0
"(9, 13, 14, 19, 70, 74, 87, 88, 89, 94, 95, 96, 102, 103, 108, 110, 138, 173)",0.08440644860391311,0.047263774273605175,18.0
"(9, 19, 70, 74, 87, 88, 89, 94, 96, 97, 102, 103, 108, 110, 138, 171, 262, 283)",0.044566093194958856,0.08058384041859501,18.0
"(9, 19, 70, 74, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 171, 260)",0.05476303956812845,0.06888729018048623,17.0
"(21, 86, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 111, 138, 171, 260, 283)",0.03917499602444652,0.15805671831546786,17.0
"(9, 19, 87, 88, 89, 94, 95, 97, 102, 103, 105, 108, 110, 138, 171, 260, 283)",0.04331802382048755,0.10377848368403864,17.0
"(9, 13, 19, 70, 75, 87, 88, 89, 94, 96, 97, 102, 103, 108, 110, 138, 261)",0.06018265618145657,0.06806829042082452,17.0
"(9, 13, 21, 87, 88, 89, 94, 95, 97, 102, 103, 108, 110, 138, 171, 260, 283)",0.04520514864388803,0.08899542993842957,17.0
