Energy Grid,Fitness_1,Fitness_2,N_Groups
"(3, 6, 7, 9, 10, 13, 14, 15, 20, 21, 22, 23, 28, 32, 86, 87, 88, 89, 94, 97, 98, 102, 103, 108, 110, 111, 138, 170, 260, 283)",0.04267322411281904,0.007171073826121699,30.0
"(2, 3, 6, 7, 8, 9, 10, 13, 14, 15, 16, 20, 21, 22, 23, 24, 28, 80, 84, 86, 88, 89, 94, 97, 108, 110, 127, 170, 258, 282)",0.07111794157783158,0.002241276877396947,30.0
"(3, 6, 7, 9, 10, 13, 14, 15, 20, 22, 23, 24, 28, 32, 83, 86, 87, 88, 89, 94, 97, 102, 103, 108, 110, 138, 170, 260, 283)",0.045907666156696614,0.0041031020446523625,29.0
"(3, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 20, 21, 22, 23, 24, 28, 80, 88, 89, 94, 97, 108, 112, 137, 170, 260, 287)",0.09938835434946591,0.002372802625891346,28.0
"(3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 28, 80, 84, 88, 89, 93, 94, 97, 137, 258)",0.1209201115824472,0.0017248926888457916,27.0
"(4, 7, 9, 10, 13, 14, 16, 20, 23, 24, 84, 86, 87, 88, 89, 94, 97, 99, 102, 103, 108, 110, 111, 138, 170, 260, 286)",0.04338112621776924,0.01247473214501782,27.0
"(3, 6, 7, 9, 10, 13, 14, 20, 23, 24, 25, 84, 86, 87, 88, 89, 94, 97, 102, 103, 108, 110, 111, 138, 170, 260, 283)",0.0434081833360872,0.009504292835292527,27.0
"(3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 28, 73, 80, 84, 88, 89, 93, 94, 97, 137)",0.15924594865081831,0.0016992388684022863,27.0
"(3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 16, 20, 21, 22, 23, 24, 28, 80, 82, 88, 89, 96, 97, 109, 140, 286)",0.2318685471391022,0.0018396700688605439,26.0
"(3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 28, 73, 80, 84, 88, 93, 94, 97, 137)",0.27836962274941424,0.0017389457940203412,26.0
"(4, 7, 9, 10, 13, 14, 20, 23, 24, 86, 87, 88, 89, 94, 97, 99, 102, 103, 108, 110, 111, 138, 170, 260, 283)",0.04218772094334444,0.014378314581411145,25.0
"(6, 7, 9, 13, 14, 24, 86, 87, 88, 89, 90, 91, 94, 96, 97, 102, 103, 108, 110, 111, 138, 164, 170, 260, 283)",0.04075317415487323,0.026465310129383135,25.0
"(3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 16, 20, 21, 22, 23, 24, 28, 80, 84, 88, 89, 95, 97, 127, 172)",0.184713346611022,0.0018958660984869091,25.0
"(3, 6, 7, 9, 10, 13, 14, 16, 20, 22, 23, 24, 28, 86, 87, 88, 89, 94, 97, 108, 110, 138, 170, 260, 283)",0.06217045688566536,0.003951439694774961,25.0
"(4, 7, 9, 10, 13, 14, 23, 24, 86, 87, 88, 89, 94, 97, 99, 102, 103, 108, 110, 111, 138, 170, 260, 283)",0.04218772094334444,0.017406920264315895,24.0
"(3, 6, 7, 9, 10, 13, 14, 16, 20, 22, 23, 24, 86, 87, 88, 89, 94, 97, 108, 110, 138, 170, 260, 283)",0.062171130542667985,0.006013252878996234,24.0
"(3, 6, 7, 9, 10, 12, 13, 14, 16, 20, 22, 23, 24, 28, 86, 88, 89, 93, 94, 97, 138, 170, 260, 283)",0.08563083413514339,0.0036541467767612357,24.0
"(3, 6, 7, 9, 10, 13, 14, 20, 22, 23, 24, 87, 88, 89, 94, 97, 102, 108, 110, 138, 170, 260, 283)",0.06004522591638339,0.00790510631647523,23.0
"(3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 16, 20, 21, 22, 23, 24, 28, 80, 84, 89, 97, 127, 172)",0.32095129138524114,0.001915086697480195,23.0
"(3, 6, 7, 9, 10, 12, 13, 14, 16, 20, 22, 23, 24, 28, 88, 89, 93, 94, 97, 138, 177, 256, 283)",0.10980967146234222,0.0036535692660861763,23.0
"(3, 6, 7, 8, 9, 10, 13, 14, 20, 22, 23, 24, 28, 86, 88, 89, 93, 94, 97, 135, 171, 259, 283)",0.08780292052352334,0.0056995350129315225,23.0
"(3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 16, 20, 21, 22, 23, 24, 28, 80, 84, 89, 97, 123)",0.37116923658721446,0.0019026791074134852,22.0
"(3, 9, 13, 14, 24, 86, 87, 88, 89, 91, 94, 97, 99, 102, 103, 108, 110, 111, 138, 170, 260, 285)",0.04219208616840231,0.032723424834546266,22.0
"(3, 6, 7, 9, 10, 12, 13, 14, 20, 23, 24, 28, 86, 88, 89, 94, 97, 100, 135, 168, 259, 284)",0.08761553536806688,0.007916371631574881,22.0
"(6, 7, 9, 13, 14, 23, 24, 86, 87, 88, 89, 94, 97, 102, 103, 108, 110, 111, 138, 170, 260, 283)",0.04346082443267141,0.01877669883274402,22.0
