Energy Grid,Fitness_1,Fitness_2,N_Groups
"(8, 19, 26, 41, 56, 72, 74, 92, 95, 96, 114, 116, 119, 136, 137, 139, 156, 173, 175, 176, 193, 194, 195, 211, 222)",0.0007818346398736908,0.0036821074715933655,25.0
"(8, 26, 28, 41, 57, 72, 73, 74, 93, 95, 114, 119, 137, 139, 156, 173, 174, 175, 193, 194, 195, 212, 223)",0.0012181581742042313,0.0017688830882741646,23.0
"(8, 26, 41, 57, 73, 74, 92, 93, 95, 114, 120, 137, 139, 156, 173, 174, 175, 193, 195, 196, 212, 223)",0.001646076312260547,0.00145515047748479,22.0
"(8, 26, 41, 56, 72, 73, 92, 96, 97, 114, 119, 136, 138, 139, 156, 173, 176, 193, 195, 211, 222)",0.0007909623574365865,0.0038293010027706798,21.0
"(8, 26, 41, 57, 74, 93, 95, 96, 114, 119, 137, 139, 156, 173, 175, 193, 194, 195, 212, 223)",0.0010580586380446455,0.002022066924863397,20.0
"(8, 26, 41, 56, 72, 74, 92, 95, 114, 120, 137, 139, 156, 173, 175, 193, 195, 196, 212, 223)",0.0016527152173453352,0.0014475926678716444,20.0
"(8, 26, 41, 57, 74, 92, 96, 114, 116, 119, 136, 139, 156, 173, 176, 193, 195, 211, 222)",0.0008485767511213771,0.003333994033707266,19.0
"(8, 26, 41, 57, 72, 74, 93, 96, 114, 119, 136, 139, 156, 173, 176, 193, 195, 211, 222)",0.0009573098756572307,0.0031809224572006967,19.0
"(8, 26, 41, 57, 74, 93, 95, 114, 120, 137, 139, 156, 173, 175, 193, 195, 196, 212, 222)",0.0020474093753842793,0.0013966727235912302,19.0
"(8, 26, 41, 57, 74, 92, 95, 114, 120, 137, 139, 156, 173, 175, 193, 195, 196, 212, 223)",0.001699299861485759,0.0014748380271135675,19.0
"(8, 26, 41, 57, 74, 93, 96, 114, 119, 137, 139, 156, 173, 175, 193, 195, 212, 223)",0.0010723722249306178,0.0020116367255674783,18.0
"(8, 26, 41, 57, 74, 93, 96, 114, 119, 136, 139, 156, 173, 176, 193, 195, 211, 222)",0.0010125821283545333,0.00324445719176647,18.0
"(8, 26, 41, 57, 74, 93, 95, 114, 119, 136, 138, 156, 173, 175, 193, 195, 209, 221)",0.005723447016469763,0.00149663716539572,18.0
"(8, 26, 41, 56, 74, 92, 95, 114, 119, 137, 139, 156, 173, 175, 193, 195, 212, 222)",0.0012293509827802085,0.001940467805724877,18.0
"(8, 26, 41, 57, 74, 95, 114, 119, 136, 138, 156, 173, 175, 193, 195, 196, 212, 223)",0.002883815223021169,0.0017390055914223712,18.0
"(8, 26, 41, 57, 74, 95, 114, 120, 137, 139, 156, 173, 175, 193, 195, 196, 212, 222)",0.003092856115021414,0.0016281712370483925,18.0
"(18, 26, 41, 57, 74, 93, 95, 114, 120, 137, 139, 156, 173, 175, 193, 195, 212, 223)",0.001610753569633805,0.0017528227274524744,18.0
"(8, 26, 41, 57, 74, 92, 96, 114, 119, 136, 139, 156, 173, 176, 193, 195, 211, 222)",0.0009240972780464318,0.003267622328510744,18.0
"(8, 26, 41, 57, 74, 93, 95, 114, 119, 136, 138, 156, 173, 175, 193, 195, 210, 222)",0.0036534163360274485,0.0015012870152554258,18.0
"(8, 26, 41, 57, 74, 93, 95, 114, 119, 137, 139, 156, 173, 175, 193, 195, 212, 222)",0.0013586934806878448,0.001828305731056079,18.0
"(8, 26, 41, 56, 74, 92, 95, 114, 119, 137, 139, 156, 173, 193, 195, 212, 222)",0.001599251857830164,0.004339484683243633,17.0
"(8, 26, 41, 57, 74, 95, 114, 119, 137, 139, 156, 173, 175, 193, 195, 212, 223)",0.0020940171783373485,0.002014268927724938,17.0
"(8, 26, 41, 57, 74, 93, 95, 114, 119, 137, 139, 156, 173, 193, 195, 212, 222)",0.0016983834534517461,0.004202491386990692,17.0
"(8, 26, 41, 57, 74, 95, 114, 119, 136, 138, 156, 173, 175, 193, 195, 210, 222)",0.004804340268220408,0.0017142323360143097,17.0
"(8, 26, 41, 57, 74, 93, 95, 114, 119, 136, 138, 156, 173, 175, 193, 195, 212)",0.0024992734380417936,0.0018351280946699022,17.0
"(8, 26, 41, 57, 74, 95, 114, 119, 136, 138, 156, 173, 175, 193, 195, 212, 223)",0.0024136410964297195,0.0019854069826448217,17.0
"(3, 26, 41, 57, 74, 93, 96, 114, 119, 136, 156, 173, 193, 195, 212, 222)",0.0034908120686644173,0.0053481911876859245,16.0
"(8, 26, 41, 57, 74, 95, 114, 119, 136, 156, 173, 175, 193, 195, 212, 223)",0.0035673170849118696,0.004241916132460166,16.0
