Energy Grid,Fitness_1,N_Groups
"(194, 211, 213, 218, 223, 229, 230, 231, 232, 235, 237, 239, 240, 241, 242, 246, 254, 255, 269, 270, 271, 273, 274, 277, 280, 282, 283, 286, 290, 298, 304)",0.0016764096399034534,31.0
"(194, 211, 213, 218, 223, 229, 230, 231, 232, 235, 237, 239, 240, 241, 248, 254, 255, 269, 270, 271, 273, 274, 277, 280, 282, 283, 286, 290, 298, 305)",0.001690386805979438,30.0
"(194, 211, 213, 218, 223, 229, 230, 231, 232, 235, 237, 239, 240, 241, 247, 254, 255, 269, 270, 271, 273, 274, 277, 280, 282, 283, 286, 290, 298)",0.001717724679130006,29.0
"(194, 211, 213, 221, 229, 230, 231, 232, 235, 237, 239, 240, 241, 247, 254, 255, 269, 270, 271, 273, 274, 277, 280, 282, 283, 286, 290, 298)",0.0018379761072708778,28.0
"(194, 211, 213, 221, 229, 230, 231, 232, 235, 237, 239, 240, 241, 247, 254, 255, 269, 270, 271, 273, 274, 280, 282, 283, 286, 290, 298)",0.0019658620363789403,27.0
"(194, 211, 213, 221, 229, 230, 231, 232, 235, 237, 239, 240, 241, 247, 254, 255, 269, 270, 273, 274, 280, 282, 283, 286, 290, 298)",0.0021340868830267423,26.0
"(194, 211, 213, 221, 229, 230, 231, 232, 235, 237, 239, 240, 241, 254, 255, 269, 270, 273, 274, 280, 282, 283, 286, 290, 298)",0.0023415690160603075,25.0
"(194, 211, 213, 221, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 269, 270, 273, 274, 280, 282, 283, 286, 290, 298)",0.002611229740080989,24.0
"(194, 211, 213, 221, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 269, 270, 273, 274, 280, 282, 283, 290, 298)",0.002920493060653895,23.0
"(194, 211, 213, 221, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 269, 270, 273, 280, 282, 283, 290, 298)",0.003295504175313546,22.0
"(194, 211, 213, 221, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 269, 270, 273, 280, 283, 290, 298)",0.003721432420141668,21.0
"(194, 211, 213, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 269, 270, 273, 280, 283, 290, 298)",0.004361090413242508,20.0
"(194, 211, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 269, 270, 273, 280, 283, 288, 297)",0.004805390067227133,19.0
"(194, 211, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 269, 270, 273, 280, 283, 290)",0.005606013935332554,18.0
"(194, 211, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 270, 273, 280, 283, 290)",0.0066222498001609065,17.0
"(194, 211, 229, 231, 235, 237, 239, 240, 241, 254, 255, 270, 273, 280, 283, 290)",0.007776245850991903,16.0
"(211, 229, 231, 235, 237, 239, 240, 241, 254, 255, 270, 273, 280, 283, 290)",0.009679253509892294,15.0
"(211, 229, 231, 235, 239, 240, 241, 254, 255, 270, 273, 280, 283, 290)",0.012419971877595803,14.0
"(211, 235, 237, 239, 240, 241, 254, 255, 270, 273, 280, 283, 290)",0.014921262207613362,13.0
"(211, 235, 239, 240, 241, 254, 255, 270, 273, 280, 283, 290)",0.017676605863341077,12.0
"(211, 235, 239, 241, 254, 255, 270, 273, 280, 283, 290)",0.0209048556795145,11.0
"(211, 235, 239, 241, 254, 255, 270, 273, 283, 290)",0.02481419033714971,10.0
"(211, 235, 239, 241, 254, 255, 270, 273, 283)",0.029299575418204826,9.0
"(211, 235, 239, 241, 254, 270, 273, 283)",0.03723776033082149,8.0
"(211, 235, 239, 241, 254, 270, 283)",0.04973079719074025,7.0
