Energy Grid,Fitness_1,N_Groups
"(155, 194, 202, 203, 205, 206, 207, 208, 209, 210, 211, 212, 213, 225, 229, 230, 231, 232, 235, 237, 239, 240, 241, 244, 254, 255, 263, 269, 282)",0.0019101131345979905,29.0
"(155, 194, 202, 203, 206, 207, 208, 209, 210, 211, 212, 213, 223, 229, 230, 231, 232, 235, 237, 239, 240, 241, 244, 254, 255, 263, 269, 282)",0.002001331714476251,28.0
"(155, 194, 202, 203, 206, 207, 208, 209, 210, 211, 213, 223, 229, 230, 231, 232, 235, 237, 239, 240, 241, 244, 254, 255, 263, 269, 282)",0.002146768915783359,27.0
"(155, 194, 202, 203, 206, 207, 208, 209, 210, 211, 213, 229, 230, 231, 232, 235, 237, 239, 240, 241, 244, 254, 255, 263, 269, 282)",0.002296460091428143,26.0
"(155, 194, 202, 203, 206, 209, 210, 211, 213, 222, 229, 230, 231, 232, 235, 237, 239, 240, 241, 244, 254, 255, 263, 269, 282)",0.0024991314056674874,25.0
"(155, 194, 202, 203, 206, 209, 210, 211, 213, 229, 230, 231, 232, 235, 237, 239, 240, 241, 244, 254, 255, 263, 269, 282)",0.002673629964047297,24.0
"(155, 194, 202, 203, 206, 209, 210, 211, 213, 229, 230, 231, 232, 235, 237, 239, 240, 241, 254, 255, 263, 269, 282)",0.0029538054229361066,23.0
"(155, 194, 203, 206, 209, 210, 211, 213, 229, 230, 231, 232, 235, 237, 239, 240, 241, 254, 255, 263, 269, 282)",0.0033821029531271307,22.0
"(155, 194, 203, 206, 209, 210, 211, 213, 229, 230, 231, 232, 235, 237, 239, 240, 241, 254, 255, 269, 282)",0.004032477644317356,21.0
"(155, 194, 203, 206, 209, 210, 211, 213, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 269, 282)",0.004734328198048865,20.0
"(155, 194, 203, 209, 210, 211, 213, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 269, 282)",0.0057450591796158745,19.0
"(155, 194, 203, 208, 211, 213, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 269, 282)",0.006784562655879012,18.0
"(155, 194, 203, 208, 211, 213, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 269)",0.00795412233593451,17.0
"(155, 194, 203, 208, 211, 213, 229, 230, 231, 235, 237, 239, 240, 241, 255, 269)",0.009649041459170005,16.0
"(155, 194, 211, 213, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 269)",0.01127032730469546,15.0
"(155, 194, 211, 213, 229, 230, 231, 235, 237, 239, 240, 241, 255, 269)",0.012970940974563305,14.0
"(155, 194, 211, 213, 229, 230, 231, 235, 237, 239, 241, 255, 269)",0.014717470845972191,13.0
"(194, 211, 213, 229, 230, 231, 235, 237, 239, 241, 255, 269)",0.01656707816316938,12.0
"(194, 211, 213, 229, 230, 235, 237, 239, 241, 255, 269)",0.019960241899440012,11.0
"(194, 211, 213, 229, 230, 235, 237, 239, 241, 266)",0.024530908815657892,10.0
"(194, 211, 213, 229, 230, 235, 239, 241, 266)",0.03169064380523123,9.0
"(194, 211, 229, 230, 235, 239, 241, 266)",0.04494635200772534,8.0
