Energy Grid,Fitness_1,N_Groups
"(182, 196, 211, 213, 218, 222, 229, 230, 231, 232, 235, 236, 237, 238, 239, 240, 241, 244, 253, 254, 255, 261, 268, 270, 271, 273, 280, 282, 283, 292)",0.0029478042406111404,30.0
"(182, 196, 211, 213, 218, 222, 229, 230, 231, 232, 235, 236, 237, 238, 239, 240, 241, 244, 253, 254, 255, 261, 268, 270, 273, 280, 282, 283, 291)",0.0030920588723190034,29.0
"(196, 211, 213, 218, 222, 229, 230, 231, 232, 235, 236, 237, 238, 239, 240, 241, 244, 253, 254, 255, 261, 268, 270, 273, 280, 282, 283, 291)",0.003182352323806037,28.0
"(196, 211, 213, 218, 222, 229, 230, 231, 232, 235, 237, 238, 239, 240, 241, 244, 253, 254, 255, 261, 268, 270, 273, 280, 282, 283, 291)",0.003392797816683668,27.0
"(196, 211, 213, 218, 222, 229, 230, 231, 232, 235, 237, 238, 239, 240, 241, 244, 254, 255, 261, 268, 270, 273, 280, 282, 283, 292)",0.0036733343632744386,26.0
"(196, 211, 213, 218, 221, 229, 230, 231, 232, 235, 236, 237, 239, 240, 241, 244, 254, 255, 261, 269, 271, 273, 280, 282, 283)",0.003818197966873771,25.0
"(196, 211, 213, 218, 221, 229, 230, 231, 232, 235, 237, 239, 240, 241, 244, 254, 255, 261, 269, 271, 273, 280, 282, 283)",0.004028777811866835,24.0
"(196, 211, 213, 218, 221, 229, 230, 231, 232, 235, 237, 239, 240, 241, 254, 255, 261, 269, 271, 273, 280, 282, 283)",0.004372983027248756,23.0
"(196, 211, 213, 221, 229, 230, 231, 232, 235, 237, 239, 240, 241, 254, 255, 261, 269, 271, 273, 280, 282, 283)",0.004738497211781989,22.0
"(196, 211, 213, 221, 229, 230, 231, 232, 235, 237, 239, 240, 241, 254, 255, 261, 270, 273, 280, 282, 283)",0.0051410430108213,21.0
"(196, 211, 213, 221, 229, 230, 231, 232, 235, 237, 239, 240, 241, 254, 255, 261, 270, 273, 280, 283)",0.005737803794368945,20.0
"(196, 211, 213, 221, 229, 230, 231, 232, 235, 237, 239, 240, 241, 254, 255, 261, 270, 273, 283)",0.006179946892775567,19.0
"(196, 211, 221, 229, 230, 231, 232, 235, 237, 239, 240, 241, 254, 255, 261, 270, 273, 283)",0.006786061561729784,18.0
"(196, 211, 221, 229, 230, 232, 235, 237, 239, 240, 241, 254, 255, 261, 270, 273, 283)",0.007567902659523007,17.0
"(196, 211, 221, 229, 230, 232, 235, 237, 239, 240, 241, 254, 255, 269, 274, 283)",0.008616241826633897,16.0
"(196, 211, 221, 229, 230, 232, 235, 237, 239, 240, 241, 254, 255, 268, 283)",0.009979257494652338,15.0
"(196, 211, 229, 230, 232, 235, 237, 239, 240, 241, 254, 255, 268, 283)",0.012250024680001803,14.0
"(196, 211, 221, 229, 230, 232, 235, 237, 239, 240, 241, 261, 283)",0.015640083785636194,13.0
"(196, 211, 229, 230, 232, 235, 237, 239, 240, 241, 261, 283)",0.01792393990925223,12.0
"(196, 211, 229, 230, 235, 237, 239, 240, 241, 261, 283)",0.021694899906570808,11.0
"(211, 229, 230, 235, 237, 239, 240, 241, 261, 283)",0.026593114994550415,10.0
"(211, 229, 230, 235, 237, 239, 240, 241, 283)",0.04288909555396858,9.0
