Energy Grid,Fitness_1,N_Groups
"(195, 211, 213, 220, 225, 229, 230, 231, 232, 235, 237, 239, 240, 241, 246, 252, 253, 254, 255, 269, 270, 271, 273, 274, 280, 281, 282, 283, 286, 290, 298)",0.0011651609298810595,31.0
"(195, 211, 213, 220, 229, 230, 231, 232, 235, 237, 239, 240, 241, 246, 252, 253, 254, 255, 269, 270, 271, 273, 274, 280, 281, 282, 283, 286, 290, 298)",0.0012630966405610122,30.0
"(195, 211, 213, 220, 229, 230, 231, 232, 235, 237, 239, 240, 241, 252, 253, 254, 255, 269, 270, 271, 273, 274, 280, 281, 282, 283, 286, 290, 298)",0.0013797076340702485,29.0
"(195, 211, 213, 220, 229, 230, 231, 232, 235, 237, 239, 240, 241, 252, 253, 254, 255, 269, 270, 271, 273, 274, 280, 281, 283, 286, 290, 298)",0.0015087060015859244,28.0
"(195, 211, 213, 220, 229, 230, 231, 232, 235, 237, 239, 240, 241, 252, 253, 254, 255, 269, 270, 273, 274, 280, 281, 283, 286, 290, 298)",0.001676169443073694,27.0
"(195, 211, 213, 220, 229, 230, 231, 232, 235, 237, 239, 240, 241, 247, 254, 255, 269, 270, 273, 274, 280, 281, 283, 286, 290, 298)",0.0019750703129680636,26.0
"(195, 211, 213, 220, 229, 230, 231, 232, 235, 237, 239, 240, 241, 254, 255, 269, 270, 273, 274, 280, 281, 283, 286, 290, 298)",0.0021871146711081035,25.0
"(195, 211, 213, 220, 229, 230, 231, 232, 235, 237, 239, 240, 241, 254, 255, 269, 270, 273, 274, 280, 281, 283, 290, 298)",0.0025074510888223323,24.0
"(194, 211, 213, 220, 229, 230, 231, 232, 235, 237, 239, 240, 241, 254, 255, 269, 270, 273, 280, 281, 283, 288, 297)",0.0028521323663136533,23.0
"(194, 211, 213, 220, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 269, 270, 273, 280, 281, 283, 288, 297)",0.0030978762941220594,22.0
"(195, 211, 213, 220, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 269, 270, 273, 280, 283, 288, 297)",0.0035796918086432594,21.0
"(194, 211, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 269, 270, 273, 280, 281, 283, 288, 297)",0.004094004954080632,20.0
"(194, 211, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 269, 270, 273, 280, 283, 288, 297)",0.004552655316020338,19.0
"(194, 211, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 269, 270, 273, 280, 283, 290)",0.005382633362532641,18.0
"(194, 211, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 270, 273, 280, 283, 290)",0.006415154134681855,17.0
"(194, 211, 229, 231, 235, 237, 239, 240, 241, 254, 255, 270, 273, 280, 283, 290)",0.007461538386800193,16.0
"(211, 229, 231, 235, 237, 239, 240, 241, 254, 255, 270, 273, 280, 283, 290)",0.009127067292877933,15.0
"(211, 232, 235, 237, 239, 240, 241, 254, 255, 270, 273, 280, 283, 290)",0.011743405206676272,14.0
"(211, 229, 231, 235, 240, 241, 254, 255, 270, 273, 280, 283, 290)",0.01357187062526699,13.0
"(211, 232, 235, 240, 241, 254, 255, 270, 273, 280, 283, 290)",0.016200029069619704,12.0
"(211, 235, 240, 241, 254, 255, 270, 273, 280, 283, 290)",0.01839408464899439,11.0
"(211, 235, 240, 241, 254, 255, 270, 273, 283, 290)",0.022420420185635836,10.0
"(211, 235, 240, 241, 254, 255, 270, 273, 283)",0.027045830496335133,9.0
"(211, 235, 240, 241, 254, 269, 273, 283)",0.03486788629874449,8.0
"(211, 235, 240, 241, 254, 273, 283)",0.05116285123738229,7.0
