Energy Grid,Fitness_1,Fitness_2,N_Groups
"(3, 6, 7, 9, 10, 12, 13, 14, 17, 19, 23, 78, 79, 83, 87, 88, 89, 91, 92, 94, 97, 98, 102, 103, 108, 110, 122, 138, 209)",0.027630149784618308,0.004562938096640656,29.0
"(3, 6, 7, 8, 9, 10, 12, 13, 14, 17, 19, 21, 23, 78, 88, 89, 91, 94, 97, 102, 103, 108, 110, 122, 138)",0.039593587454861745,0.0030775952688769648,25.0
"(3, 6, 7, 8, 9, 10, 12, 13, 14, 17, 19, 21, 23, 78, 88, 89, 91, 94, 97, 98, 109, 110, 122, 138)",0.053513603462000736,0.0030815470133620515,24.0
"(6, 7, 9, 13, 14, 19, 21, 78, 79, 83, 87, 88, 89, 91, 94, 97, 98, 102, 103, 108, 110, 122, 141, 214)",0.027649977442112617,0.021049557938834784,24.0
"(3, 6, 7, 8, 9, 10, 12, 13, 14, 17, 19, 21, 23, 29, 78, 88, 89, 91, 94, 97, 122, 138)",0.0662338335744932,0.0026900680613308747,22.0
"(4, 6, 7, 8, 9, 13, 19, 23, 78, 88, 89, 91, 94, 97, 102, 103, 108, 110, 121, 137, 209)",0.03811770726290542,0.01833623034150622,21.0
"(3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 19, 21, 24, 78, 88, 89, 104, 110, 140)",0.11594893029305486,0.0025610115358557506,21.0
"(3, 6, 7, 8, 9, 10, 12, 13, 14, 17, 19, 21, 23, 29, 78, 88, 89, 91, 94, 97, 122)",0.07749796043289625,0.002713153379962474,21.0
"(6, 7, 9, 13, 22, 78, 79, 83, 87, 88, 89, 91, 94, 97, 102, 103, 108, 110, 122, 138, 211)",0.02883986283578477,0.03524535080808411,21.0
"(6, 7, 9, 78, 79, 83, 87, 88, 89, 90, 91, 94, 97, 98, 102, 103, 108, 110, 122, 141, 211)",0.027625787079243236,0.4760607135308442,21.0
"(7, 9, 13, 22, 78, 79, 83, 87, 88, 89, 91, 94, 97, 99, 102, 103, 108, 110, 122, 138, 211)",0.028319321391638064,0.05854519215455878,21.0
"(6, 7, 9, 21, 78, 79, 83, 87, 88, 89, 91, 94, 97, 98, 102, 103, 108, 110, 122, 141, 211)",0.027651477330897678,0.10131717219790048,21.0
"(3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 18, 19, 21, 24, 83, 87, 88, 89, 97, 122)",0.1321547540942034,0.0025901879747435297,20.0
"(7, 9, 21, 78, 79, 83, 87, 88, 89, 91, 94, 97, 98, 102, 103, 108, 110, 122, 141, 211)",0.027651477330897678,0.12639770014730267,20.0
"(3, 6, 7, 8, 9, 10, 12, 13, 14, 19, 21, 23, 88, 89, 91, 94, 97, 123, 138)",0.08882232888873931,0.0052928288327633854,19.0
"(7, 9, 11, 13, 23, 78, 83, 88, 89, 91, 94, 97, 102, 103, 108, 110, 122, 138, 209)",0.0320696016937323,0.06245735239383665,19.0
"(6, 7, 9, 13, 21, 78, 83, 88, 89, 91, 94, 97, 102, 103, 108, 110, 125, 166)",0.03480207397655122,0.032814954501558136,18.0
"(3, 6, 7, 9, 13, 19, 21, 23, 78, 83, 88, 89, 91, 94, 97, 108, 110, 138)",0.04677347729350845,0.016892471046504043,18.0
"(7, 9, 22, 78, 83, 87, 88, 89, 91, 94, 97, 102, 103, 108, 110, 122, 141, 214)",0.030316041625882417,0.13982058192556268,18.0
"(3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 17, 19, 21, 24, 88, 89, 97, 122)",0.13667417581579688,0.002239966765604451,18.0
"(3, 6, 7, 9, 13, 14, 19, 26, 78, 88, 89, 91, 94, 97, 108, 110, 165)",0.056893117296499596,0.014607167522697195,17.0
"(6, 7, 9, 19, 78, 83, 88, 89, 91, 94, 97, 102, 103, 108, 110, 125, 166)",0.03480209928090561,0.08685121088768877,17.0
"(7, 9, 78, 83, 88, 89, 91, 94, 97, 102, 103, 104, 108, 110, 122, 141, 214)",0.030721968208678563,0.5204637227534299,17.0
"(7, 9, 13, 23, 78, 88, 89, 91, 94, 97, 102, 103, 108, 110, 122, 138, 209)",0.036151878140361915,0.062508372651646,17.0
"(7, 9, 23, 78, 83, 88, 89, 91, 94, 97, 102, 103, 108, 110, 122, 141, 209)",0.032082491553655945,0.15498664906127646,17.0
"(3, 6, 7, 8, 9, 10, 12, 13, 14, 17, 19, 23, 24, 88, 89, 126, 166)",0.15413896716224917,0.003664908871544803,17.0
"(5, 6, 9, 13, 21, 78, 88, 89, 91, 94, 97, 98, 102, 108, 110, 124, 166)",0.04318014786510538,0.05349027474756851,17.0
"(6, 7, 9, 13, 21, 24, 78, 88, 89, 91, 94, 97, 108, 110, 122, 166)",0.04569587750463111,0.02956608136197092,16.0
"(7, 9, 21, 78, 82, 88, 89, 91, 94, 97, 102, 108, 110, 122, 141, 211)",0.03756536220885187,0.12646451254077662,16.0
"(7, 9, 23, 78, 88, 89, 91, 94, 97, 102, 103, 108, 110, 122, 138, 209)",0.036151878140361915,0.15498370325260313,16.0
