Energy Grid,Fitness_1,N_Groups
"(194, 211, 224, 229, 230, 231, 232, 235, 237, 239, 240, 241, 244, 248, 251, 254, 255, 260, 269, 270, 271, 273, 274, 278, 280, 281, 282, 283, 286, 290, 296, 300)",0.0012473711407090526,32.0
"(194, 211, 224, 229, 230, 231, 232, 235, 237, 239, 240, 241, 244, 248, 254, 255, 260, 269, 270, 271, 273, 274, 278, 280, 281, 282, 283, 286, 290, 296, 300)",0.0013159758837147928,31.0
"(194, 211, 224, 229, 230, 231, 235, 237, 239, 240, 241, 244, 248, 254, 255, 260, 269, 270, 271, 273, 274, 278, 280, 281, 282, 283, 286, 290, 296, 300)",0.0013896636960437636,30.0
"(194, 211, 224, 229, 230, 231, 235, 237, 239, 240, 241, 244, 248, 254, 255, 260, 269, 270, 271, 273, 274, 278, 280, 281, 282, 283, 286, 290, 298)",0.0015107193408103736,29.0
"(194, 211, 224, 229, 230, 231, 235, 237, 239, 240, 241, 244, 248, 254, 255, 260, 269, 270, 271, 273, 274, 280, 281, 282, 283, 286, 290, 298)",0.0016394910579827782,28.0
"(194, 211, 224, 229, 230, 231, 235, 237, 239, 240, 241, 248, 254, 255, 260, 269, 270, 271, 273, 274, 280, 281, 282, 283, 286, 290, 298)",0.0017809560354791198,27.0
"(194, 211, 229, 230, 231, 235, 237, 239, 240, 241, 248, 254, 255, 260, 269, 270, 271, 273, 274, 280, 281, 282, 283, 286, 290, 298)",0.0019685956652539804,26.0
"(211, 229, 230, 231, 235, 237, 239, 240, 241, 248, 254, 255, 260, 269, 270, 271, 273, 274, 280, 281, 282, 283, 286, 290, 298)",0.0021662436373031113,25.0
"(211, 229, 230, 231, 235, 237, 239, 240, 241, 248, 254, 255, 260, 269, 270, 271, 273, 274, 280, 281, 283, 286, 290, 298)",0.0023675547427890464,24.0
"(211, 229, 231, 235, 237, 239, 240, 241, 248, 254, 255, 260, 269, 270, 271, 273, 274, 280, 281, 283, 286, 290, 298)",0.0026237766311738575,23.0
"(211, 229, 231, 235, 237, 239, 240, 241, 248, 254, 255, 260, 269, 270, 273, 274, 280, 281, 283, 286, 290, 298)",0.002894894489926636,22.0
"(211, 229, 231, 235, 237, 239, 240, 241, 248, 254, 255, 260, 269, 270, 273, 274, 280, 281, 283, 290, 298)",0.0033496815222575638,21.0
"(211, 229, 231, 235, 237, 239, 240, 241, 248, 254, 255, 260, 269, 270, 273, 274, 280, 283, 290, 298)",0.003965213764184461,20.0
"(211, 229, 231, 235, 239, 240, 241, 248, 254, 255, 260, 269, 270, 273, 274, 280, 283, 290, 298)",0.004699625035279875,19.0
"(211, 235, 237, 239, 240, 241, 248, 254, 255, 260, 269, 270, 273, 274, 280, 283, 290, 298)",0.005360640731365662,18.0
"(211, 235, 239, 240, 241, 248, 254, 255, 260, 269, 270, 273, 274, 280, 283, 290, 298)",0.006096083104908834,17.0
"(211, 235, 239, 240, 241, 248, 254, 255, 260, 269, 270, 273, 280, 283, 290, 298)",0.006846835886572866,16.0
"(211, 235, 239, 240, 241, 248, 254, 255, 269, 270, 273, 280, 283, 290, 298)",0.007612993306493898,15.0
"(211, 235, 239, 240, 241, 248, 254, 255, 270, 273, 280, 283, 290, 298)",0.008576222817224366,14.0
"(211, 235, 240, 241, 248, 254, 255, 270, 273, 280, 283, 290, 298)",0.009575506682809154,13.0
"(211, 235, 240, 241, 254, 255, 270, 273, 280, 283, 290, 298)",0.010653793513873522,12.0
"(211, 235, 240, 241, 254, 255, 270, 273, 280, 283, 290)",0.01204187893933617,11.0
"(211, 235, 240, 254, 255, 270, 273, 280, 283, 290)",0.018211661243372368,10.0
