Energy Grid,Fitness_1,N_Groups
"(154, 194, 202, 203, 208, 210, 211, 213, 218, 226, 227, 229, 230, 231, 232, 235, 237, 239, 240, 241, 245, 247, 249, 251, 253, 254, 255, 260, 269, 283)",0.0020837173601385706,30.0
"(154, 194, 202, 203, 208, 210, 211, 213, 218, 227, 229, 230, 231, 232, 234, 235, 237, 239, 240, 241, 245, 247, 249, 253, 254, 255, 260, 269, 283)",0.002112016266781369,29.0
"(154, 194, 202, 203, 208, 210, 211, 213, 218, 227, 229, 230, 231, 232, 235, 237, 239, 240, 241, 245, 247, 249, 253, 254, 255, 260, 269, 283)",0.002178429679427496,28.0
"(154, 194, 202, 203, 208, 210, 211, 213, 218, 227, 229, 230, 231, 232, 235, 237, 239, 240, 241, 245, 249, 253, 254, 255, 260, 269, 283)",0.0023992985799243804,27.0
"(154, 194, 203, 205, 209, 210, 211, 213, 218, 227, 229, 230, 231, 232, 235, 237, 239, 240, 241, 245, 249, 253, 254, 255, 269, 283)",0.002678052272836795,26.0
"(154, 194, 203, 208, 211, 213, 218, 227, 229, 230, 231, 232, 235, 237, 239, 240, 241, 245, 248, 253, 254, 255, 260, 269, 292)",0.0029678610613737,25.0
"(154, 194, 203, 208, 211, 213, 218, 227, 229, 230, 231, 232, 235, 237, 239, 240, 241, 245, 248, 253, 254, 255, 260, 269)",0.0030852367021535487,24.0
"(154, 194, 203, 208, 211, 213, 218, 227, 229, 230, 231, 232, 235, 237, 239, 240, 241, 245, 248, 254, 255, 260, 269)",0.0033721102215583665,23.0
"(154, 194, 203, 208, 211, 213, 218, 227, 229, 230, 231, 232, 235, 237, 239, 240, 241, 245, 248, 254, 255, 269)",0.003816390374377865,22.0
"(154, 194, 211, 213, 218, 227, 229, 230, 231, 232, 235, 237, 239, 240, 241, 245, 248, 254, 255, 260, 269)",0.004371162107515425,21.0
"(154, 194, 211, 213, 218, 227, 229, 230, 231, 232, 235, 237, 239, 240, 241, 245, 248, 254, 255, 269)",0.004815888267078461,20.0
"(154, 194, 211, 213, 218, 227, 229, 230, 231, 232, 235, 237, 239, 240, 241, 247, 254, 255, 269)",0.005292581448416156,19.0
"(154, 194, 211, 213, 218, 227, 229, 230, 231, 232, 235, 237, 239, 240, 241, 247, 256, 269)",0.005937611115978791,18.0
"(154, 194, 211, 213, 218, 229, 230, 231, 232, 235, 237, 239, 240, 241, 247, 256, 269)",0.006601641128417657,17.0
"(154, 194, 211, 213, 218, 229, 230, 231, 235, 237, 239, 240, 241, 247, 256, 269)",0.007664920881376602,16.0
"(194, 211, 213, 218, 229, 230, 231, 235, 237, 239, 240, 241, 247, 256, 269)",0.00916334947804509,15.0
"(194, 211, 213, 229, 230, 231, 235, 237, 239, 240, 241, 247, 256, 269)",0.011319838757041345,14.0
"(194, 211, 229, 230, 231, 235, 237, 239, 240, 241, 247, 256, 269)",0.01322101095130579,13.0
"(194, 211, 229, 230, 231, 235, 237, 239, 240, 241, 248, 260)",0.016899052365858203,12.0
"(194, 211, 229, 231, 235, 237, 239, 240, 241, 248, 260)",0.02101647550394037,11.0
"(194, 211, 229, 231, 235, 237, 239, 241, 248, 260)",0.026094998413262238,10.0
"(194, 211, 229, 231, 235, 237, 239, 241, 256)",0.03121439443642582,9.0
"(194, 211, 231, 235, 237, 239, 241, 256)",0.04247698170095682,8.0
"(211, 231, 235, 237, 239, 241, 256)",0.055299144046182525,7.0
"(211, 231, 235, 239, 241, 256)",0.0726532579365573,6.0
