Energy Grid,Fitness_1,N_Groups
"(194, 211, 213, 216, 224, 229, 230, 231, 232, 235, 236, 237, 239, 240, 241, 252, 253, 254, 255, 256, 262, 269, 270, 273, 280, 282, 283, 291)",0.003605367171902407,28.0
"(194, 211, 213, 216, 224, 229, 230, 231, 232, 235, 236, 237, 239, 240, 241, 252, 253, 254, 255, 256, 262, 269, 270, 273, 280, 283, 291)",0.004216222962720062,27.0
"(194, 211, 213, 216, 224, 229, 230, 231, 232, 235, 236, 237, 239, 240, 241, 247, 253, 254, 255, 256, 262, 269, 270, 273, 283, 291)",0.004438457308776789,26.0
"(194, 211, 213, 216, 224, 229, 230, 231, 232, 235, 236, 237, 239, 240, 241, 253, 254, 255, 256, 262, 269, 270, 273, 283, 291)",0.00469763492852715,25.0
"(194, 211, 213, 216, 224, 229, 230, 231, 232, 235, 236, 237, 239, 240, 241, 254, 255, 256, 262, 269, 270, 273, 283, 291)",0.005009036892499874,24.0
"(194, 211, 213, 224, 229, 230, 231, 232, 235, 236, 237, 239, 240, 241, 254, 255, 256, 262, 269, 270, 273, 283, 291)",0.005332719214934056,23.0
"(194, 211, 213, 224, 229, 230, 231, 235, 236, 237, 239, 240, 241, 254, 255, 256, 262, 269, 270, 273, 283, 291)",0.005710940406443599,22.0
"(194, 211, 213, 224, 229, 230, 231, 235, 236, 237, 239, 240, 241, 254, 255, 265, 269, 270, 273, 283, 291)",0.00615929195365017,21.0
"(194, 211, 213, 224, 229, 230, 231, 235, 236, 237, 239, 240, 241, 254, 255, 265, 270, 273, 283, 291)",0.00657063666563662,20.0
"(194, 211, 213, 224, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 265, 270, 273, 283, 291)",0.007209392394226688,19.0
"(194, 211, 223, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 265, 270, 273, 283, 290)",0.007938751919482234,18.0
"(194, 211, 223, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 265, 270, 273, 283)",0.008772874519122675,17.0
"(196, 211, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 265, 270, 273, 283)",0.009538867629346748,16.0
"(196, 211, 229, 230, 231, 235, 237, 239, 240, 241, 254, 255, 269, 273, 283)",0.010933677801182262,15.0
"(196, 211, 229, 231, 235, 237, 239, 240, 241, 254, 255, 269, 273, 283)",0.012481273876532084,14.0
"(211, 229, 231, 235, 237, 239, 240, 241, 254, 255, 269, 273, 283)",0.014938469928271303,13.0
"(211, 229, 231, 235, 237, 239, 240, 241, 254, 255, 269, 283)",0.018603366731462234,12.0
"(211, 229, 231, 235, 239, 240, 241, 254, 255, 269, 283)",0.023618550176334074,11.0
"(211, 229, 231, 235, 237, 239, 240, 241, 265, 283)",0.027548445865789528,10.0
"(211, 229, 231, 235, 239, 240, 241, 265, 283)",0.03261000165032468,9.0
"(211, 235, 237, 239, 240, 241, 265, 283)",0.03776830136390574,8.0
"(211, 235, 239, 240, 241, 265, 283)",0.04288390169789413,7.0
"(211, 235, 239, 240, 241, 283)",0.06107900980933556,6.0
"(235, 239, 240, 241, 283)",0.1076424697783065,5.0
