Energy Grid,Fitness_1,N_Groups
"(211, 222, 229, 230, 231, 235, 237, 239, 240, 241, 244, 248, 254, 255, 260, 269, 270, 271, 273, 274, 277, 280, 281, 282, 283, 286, 290, 298)",0.0016608257461445675,28.0
"(211, 224, 229, 230, 231, 235, 237, 239, 240, 241, 244, 248, 254, 255, 260, 269, 270, 271, 273, 274, 280, 281, 282, 283, 286, 290, 298)",0.0017717369297837182,27.0
"(211, 224, 229, 230, 231, 235, 237, 239, 240, 241, 248, 254, 255, 260, 269, 270, 271, 273, 274, 280, 281, 282, 283, 286, 290, 298)",0.001914231809982403,26.0
"(211, 229, 230, 231, 235, 237, 239, 240, 241, 248, 254, 255, 260, 269, 270, 271, 273, 274, 280, 281, 282, 283, 286, 290, 298)",0.0020971483517459033,25.0
"(211, 229, 230, 231, 235, 237, 239, 240, 241, 248, 254, 255, 260, 269, 270, 271, 273, 274, 280, 281, 283, 286, 290, 298)",0.0022988264180309192,24.0
"(211, 229, 231, 235, 237, 239, 240, 241, 248, 254, 255, 260, 269, 270, 271, 273, 274, 280, 281, 283, 286, 290, 298)",0.0025440332094406326,23.0
"(211, 229, 231, 235, 237, 239, 240, 241, 248, 254, 255, 260, 269, 270, 273, 274, 280, 281, 283, 286, 290, 298)",0.0028170337986657135,22.0
"(211, 229, 231, 235, 237, 239, 240, 241, 248, 254, 255, 260, 269, 270, 273, 274, 280, 281, 283, 290, 298)",0.003275479161425232,21.0
"(211, 229, 231, 235, 239, 240, 241, 248, 254, 255, 260, 269, 270, 273, 274, 280, 281, 283, 290, 298)",0.00397291869430505,20.0
"(211, 235, 237, 239, 240, 241, 248, 254, 255, 260, 269, 270, 273, 274, 280, 281, 283, 290, 298)",0.004597179731363976,19.0
"(211, 235, 239, 240, 241, 248, 254, 255, 260, 269, 270, 273, 274, 280, 281, 283, 290, 298)",0.005295545977495042,18.0
"(211, 235, 239, 240, 241, 248, 254, 255, 260, 269, 270, 273, 280, 281, 283, 290, 298)",0.006051902335374892,17.0
"(211, 235, 239, 240, 241, 248, 254, 255, 269, 270, 273, 280, 281, 283, 290, 298)",0.006821338189205384,16.0
"(211, 235, 239, 240, 241, 248, 254, 255, 270, 273, 280, 281, 283, 290, 298)",0.007781376310479926,15.0
"(211, 235, 240, 241, 248, 254, 255, 270, 273, 280, 281, 283, 290, 298)",0.008761886719395151,14.0
"(211, 235, 240, 241, 248, 254, 255, 270, 273, 280, 281, 283, 290)",0.010158354444632534,13.0
"(211, 235, 240, 241, 248, 254, 255, 270, 273, 281, 283, 290)",0.015769041776255377,12.0
"(211, 235, 249, 254, 255, 270, 273, 280, 281, 283, 290)",0.017445681576425898,11.0
"(211, 235, 249, 254, 255, 270, 273, 281, 283, 290)",0.02309822167062925,10.0
"(211, 235, 249, 255, 270, 273, 281, 283, 290)",0.03164651359020576,9.0
"(211, 235, 249, 255, 270, 273, 281, 283)",0.04069983414517009,8.0
"(211, 235, 249, 255, 274, 281, 283)",0.05740499431135826,7.0
